200 500
179 198 -168
78 190 108
183 84 -191
4 6 197
70 40 74
5 28 70
97 71 75
71 4 -87
27 175 144
121 163 19
75 110 74
153 166 40
44 159 -98
106 129 -190
40 48 7
52 125 -38
111 50 105
38 4 181
196 88 197
180 196 35
143 47 61
68 192 -45
121 19 -13
93 150 145
10 49 68
174 26 185
182 111 128
125 48 -66
115 67 -125
72 189 -9
11 36 176
37 35 124
51 167 -148
58 126 83
37 165 98
161 133 -176
177 185 31
58 156 -136
41 8 -196
35 73 185
171 184 136
28 34 29
107 44 187
126 195 -61
101 73 -45
99 77 31
81 80 -154
111 82 97
151 25 95
108 85 -154
0 114 -181
25 94 -76
50 181 -167
77 189 -122
32 159 19
126 192 -169
196 36 -6
166 54 -170
118 148 -149
194 107 139
170 23 -98
56 5 -165
191 56 -145
161 103 106
35 81 -14
183 169 -101
46 47 78
132 140 10
164 163 184
35 74 67
128 133 135
135 194 121
87 16 -162
159 191 48
181 74 -183
141 140 -16
29 187 18
162 133 187
21 2 80
9 67 155
92 75 146
106 100 133
105 186 97
15 45 189
166 24 -82
173 62 -14
171 104 63
67 154 5
12 117 72
131 174 -76
21 79 185
42 106 -198
113 114 -78
11 86 37
116 122 -141
32 8 -189
105 130 197
37 121 -104
50 40 192
21 122 -28
37 146 40
21 199 139
94 103 -32
42 176 -171
167 115 -74
93 4 -199
72 63 -101
182 8 -72
171 67 102
126 144 86
119 97 -152
11 108 -176
141 112 -13
72 166 -26
160 52 82
113 175 64
53 55 -70
92 160 194
197 158 -78
172 143 -31
36 1 -65
118 34 -63
89 90 143
100 125 -8
48 159 -10
72 86 -70
99 156 115
73 52 -197
75 71 -148
145 60 137
58 44 25
13 55 75
125 193 1
74 178 -167
187 190 189
19 35 124
105 108 89
71 170 -52
25 98 -161
67 59 12
110 80 -188
53 162 -188
92 190 55
30 187 12
88 198 -86
145 43 -126
82 182 110
58 131 -140
138 80 114
135 180 7
165 116 152
160 54 -96
158 94 -147
42 58 49
50 98 -116
91 70 139
25 43 122
32 48 192
14 175 -139
56 1 12
73 78 -10
173 199 55
52 16 -167
136 104 -136
1 6 117
46 33 -187
103 7 -122
75 191 -180
61 8 -104
18 70 133
127 15 86
79 152 -141
148 59 -39
195 35 71
115 71 160
89 105 139
48 99 -118
181 123 -161
197 163 98
151 18 -158
35 144 -173
99 2 20
80 92 -115
176 150 -69
34 160 -141
49 89 -84
6 153 177
186 44 97
79 174 8
102 130 139
90 38 -170
36 74 -86
173 147 -178
9 164 86
17 152 -136
119 85 -167
90 181 42
38 48 13
126 30 -135
10 143 -87
72 80 139
44 37 159
151 115 -126
183 158 191
121 111 -177
163 145 115
65 38 -87
75 178 -106
158 115 69
154 77 -39
136 96 -183
196 76 -116
19 157 -111
75 107 -180
142 31 180
52 3 119
99 21 77
57 113 140
57 43 -153
45 157 70
194 144 -178
40 77 94
12 75 -35
149 96 -78
183 32 -150
57 11 -195
144 22 187
99 180 -86
139 25 176
0 135 -81
0 46 -62
145 104 -169
94 100 -105
116 130 -131
118 168 -154
69 3 60
20 177 -85
11 40 198
77 80 119
55 109 174
151 43 17
41 17 76
94 127 -122
159 167 -115
128 118 -164
180 47 0
99 12 -159
176 68 -169
190 197 172
0 65 -186
13 95 125
169 30 -20
166 29 166
69 162 20
99 7 199
92 42 -93
34 124 -19
27 194 132
52 94 1
164 132 -88
49 136 -74
124 6 -106
110 166 85
162 117 97
100 193 -142
160 10 -124
41 54 19
15 165 -1
64 96 -200
19 21 48
92 61 10
118 79 -149
51 74 61
65 69 -32
156 22 44
72 199 -186
68 47 48
77 71 78
39 0 74
181 17 -149
137 169 116
85 18 -141
81 7 -74
111 199 174
42 192 11
197 182 -108
105 179 113
30 171 102
25 88 67
189 22 96
143 145 -132
88 151 -122
160 89 -77
95 172 65
124 131 109
183 124 -49
119 134 -123
127 138 -147
0 37 -113
129 184 -178
176 66 -27
91 12 180
62 164 -172
183 25 -194
20 131 40
128 98 71
65 20 -163
144 115 -192
164 72 -172
198 47 -109
49 62 -150
138 195 -173
122 38 159
12 64 -128
164 143 -93
43 21 -182
86 119 59
29 117 172
135 40 -151
157 42 138
88 139 -183
183 51 77
16 116 -127
10 91 177
70 14 -145
48 92 61
198 16 87
181 83 -57
129 198 177
32 137 -2
72 192 155
134 143 -166
48 121 91
168 101 -96
182 32 -104
187 120 -99
116 100 -169
153 17 186
26 71 42
110 98 -113
163 45 120
127 182 73
190 164 -150
69 41 -6
175 127 74
14 55 31
36 26 158
158 93 -70
1 162 60
178 144 187
29 68 138
71 120 41
44 158 19
179 48 130
166 119 -21
50 3 139
78 110 -151
94 35 -14
27 93 -151
80 4 -128
138 171 -21
122 121 122
57 53 -114
59 187 -64
59 166 166
84 156 -33
134 91 195
151 110 40
120 74 -30
95 53 189
192 5 -2
106 13 -199
5 52 86
42 117 66
10 165 173
191 65 -110
190 89 97
90 101 -41
106 110 -85
13 111 190
130 105 41
180 150 -153
109 28 13
130 149 114
94 137 156
141 179 -62
190 141 51
128 104 -175
84 39 -47
142 70 -21
78 3 -198
154 122 16
178 96 38
124 104 36
147 146 3
181 185 -56
33 95 -13
42 88 -153
4 152 -115
113 116 -37
156 41 14
33 57 40
16 196 -184
131 13 -43
182 134 -64
59 138 94
81 193 -156
197 72 115
142 132 -53
95 76 -111
88 81 106
58 60 -119
183 66 -124
133 154 -59
53 183 -185
69 94 130
15 177 -145
157 49 125
66 161 57
135 57 167
160 175 119
63 183 127
16 37 -52
59 52 -151
142 64 -151
4 101 113
77 103 -27
173 56 -125
18 188 -191
133 11 -180
135 128 145
120 13 179
58 43 -105
160 183 121
87 136 -61
166 142 -142
29 100 151
86 199 13
23 60 -119
39 59 -42
110 195 166
164 125 7
163 119 89
128 142 -105
165 123 60
5 6 40
158 68 -109
113 108 168
32 195 100
51 97 -77
157 99 42
157 63 -60
163 20 -176
133 145 -2
56 57 131
35 97 -57
94 87 -16
6 134 175
103 189 26
157 181 -101
34 0 19
121 89 -73
32 181 150
183 194 -33
45 49 -67
40 135 -92
150 179 -47
162 1 55
82 116 -160
99 72 -189
66 96 140
159 122 -71
39 142 -151
105 93 -33
59 103 -135
116 56 12
105 161 -138
111 84 29
121 175 -52
84 151 154
34 37 158
99 53 -161
163 95 -18
59 44 -6
141 183 -176
113 9 -37
16 175 71
0 102 189
92 33 -182
140 86 44
94 83 -62
11 122 -140
119 40 18
111 30 -189
171 190 -96
103 153 170
134 173 85
149 167 127
129 27 -139
32 155 69
