30000 30010
22551 14344 -919
15727 22551 -215
11334 15727 -232
8910 11334 -922
23093 8910 -234
23198 23093 -483
11874 23198 -904
2806 11874 -452
6487 2806 -140
20793 6487 -675
24422 20793 -480
23033 24422 -77
25323 23033 -897
28942 25323 -887
7951 28942 -341
83 7951 -444
20523 83 -58
3786 20523 -353
11217 3786 -118
9810 11217 -978
15282 9810 -308
55 15282 -668
15946 55 -611
27777 15946 -735
9410 27777 -514
2788 9410 -159
19403 2788 -530
18935 19403 -691
21810 18935 -657
19373 21810 -598
19617 19373 -687
562 19617 -988
21598 562 -855
5194 21598 -677
12467 5194 -510
4434 12467 -11
11563 4434 -900
5822 11563 -589
27732 5822 -491
28441 27732 -78
15787 28441 -452
5667 15787 -882
17737 5667 -293
11050 17737 -107
53 11050 -27
13204 53 -354
15742 13204 -364
27172 15742 -834
19407 27172 -334
3831 19407 -590
10202 3831 -160
23322 10202 -584
7464 23322 -768
2249 7464 -519
5277 2249 -366
14942 5277 -371
21959 14942 -348
11386 21959 -376
3413 11386 -281
15029 3413 -537
23242 15029 -444
29165 23242 -157
25076 29165 -941
7083 25076 -15
29202 7083 -844
9148 29202 -367
26453 9148 -738
29529 26453 -587
269 29529 -241
23250 269 -101
7526 23250 -27
12996 7526 -905
28704 12996 -175
5317 28704 -346
17509 5317 -797
17267 17509 -583
10485 17267 -333
12855 10485 -58
22183 12855 -910
9859 22183 -32
2890 9859 -345
9696 2890 -675
14586 9696 -276
8471 14586 -137
14565 8471 -44
1388 14565 -331
23398 1388 -297
26686 23398 -37
16055 26686 -396
4485 16055 -574
20898 4485 -767
17080 20898 -368
3679 17080 -4
28284 3679 -372
9833 28284 -977
29779 9833 -902
22297 29779 -933
28601 22297 -325
11657 28601 -604
15445 11657 -555
9357 15445 -49
11687 9357 -148
16090 11687 -7
11436 16090 -95
24791 11436 -403
4330 24791 -124
23219 4330 -24
26211 23219 -680
2164 26211 -97
7309 2164 -734
7686 7309 -651
23246 7686 -454
17493 23246 -813
12061 17493 -95
18153 12061 -185
20894 18153 -892
21891 20894 -175
26852 21891 -187
2005 26852 -133
17400 2005 -516
19271 17400 -579
1979 19271 -409
4652 1979 -598
22067 4652 -96
9320 22067 -714
12052 9320 -84
22480 12052 -156
12821 22480 -609
26676 12821 -978
13860 26676 -949
3566 13860 -555
23588 3566 -753
1952 23588 -684
22660 1952 -834
27291 22660 -697
22960 27291 -823
21204 22960 -578
19396 21204 -936
26394 19396 -464
15840 26394 -741
27723 15840 -94
15430 27723 -23
10429 15430 -866
21490 10429 -140
9467 21490 -569
16794 9467 -394
29295 16794 -992
19244 29295 -507
20139 19244 -1
10954 20139 -676
24441 10954 -442
10694 24441 -914
29349 10694 -160
29574 29349 -363
17593 29574 -140
19023 17593 -265
14685 19023 -516
19249 14685 -804
26385 19249 -909
3193 26385 -184
12580 3193 -787
2658 12580 -698
4490 2658 -656
15627 4490 -654
8502 15627 -467
14237 8502 -701
1396 14237 -967
28809 1396 -352
29746 28809 -323
13125 29746 -557
21642 13125 -827
15723 21642 -744
5645 15723 -668
16075 5645 -612
8504 16075 -140
1211 8504 -841
25958 1211 -557
13813 25958 -245
3749 13813 -25
19976 3749 -804
6286 19976 -90
13349 6286 -368
23056 13349 -399
19630 23056 -117
26147 19630 -283
15004 26147 -41
18148 15004 -914
20050 18148 -587
4023 20050 -84
2312 4023 -324
8153 2312 -741
4315 8153 -387
18208 4315 -744
16520 18208 -689
15734 16520 -498
25197 15734 -201
27004 25197 -213
24126 27004 -808
29421 24126 -993
20442 29421 -196
13594 20442 -838
7141 13594 -891
5232 7141 -977
5474 5232 -135
19660 5474 -587
10832 19660 -862
17211 10832 -897
20906 17211 -631
12545 20906 -906
25097 12545 -144
5455 25097 -835
2320 5455 -777
1433 2320 -810
16384 1433 -503
25186 16384 -181
22668 25186 -799
21773 22668 -508
24641 21773 -645
3107 24641 -127
10615 3107 -942
1531 10615 -353
11994 1531 -877
14384 11994 -228
3663 14384 -833
11886 3663 -649
8646 11886 -332
12999 8646 -58
3772 12999 -436
24226 3772 -538
13097 24226 -416
1911 13097 -25
24960 1911 -417
49 24960 -971
8208 49 -667
3309 8208 -4
28882 3309 -995
25519 28882 -188
20359 25519 -876
20090 20359 -632
9690 20090 -365
11649 9690 -854
2876 11649 -714
21648 2876 -127
13077 21648 -816
21115 13077 -258
5161 21115 -136
17129 5161 -572
10352 17129 -414
19687 10352 -739
7330 19687 -431
5325 7330 -749
10734 5325 -842
12369 10734 -291
26282 12369 -438
28861 26282 -250
4708 28861 -156
24915 4708 -183
3131 24915 -931
13976 3131 -536
11784 13976 -102
19362 11784 -554
21292 19362 -536
15834 21292 -381
8648 15834 -169
24910 8648 -987
1200 24910 -508
21480 1200 -914
17829 21480 -805
10149 17829 -533
14000 10149 -271
21913 14000 -378
24215 21913 -218
14910 24215 -219
20809 14910 -171
10616 20809 -293
29339 10616 -250
23652 29339 -792
10390 23652 -995
18472 10390 -963
25505 18472 -971
27490 25505 -529
24247 27490 -85
15021 24247 -362
57 15021 -271
3550 57 -826
7262 3550 -728
28288 7262 -294
28665 28288 -2
25303 28665 -137
5648 25303 -381
9077 5648 -52
2521 9077 -343
9646 2521 -101
10578 9646 -149
3798 10578 -686
28287 3798 -546
21856 28287 -724
8780 21856 -94
25208 8780 -171
1988 25208 -979
5257 1988 -488
9477 5257 -334
5261 9477 -774
4576 5261 -616
24865 4576 -304
12956 24865 -92
4769 12956 -484
27104 4769 -575
24135 27104 -502
6135 24135 -17
6498 6135 -979
18476 6498 -263
10305 18476 -844
27722 10305 -354
3607 27722 -310
2897 3607 -76
26764 2897 -686
20556 26764 -138
27735 20556 -385
16061 27735 -341
15790 16061 -719
15949 15790 -170
20491 15949 -717
20683 20491 -7
20533 20683 -819
28460 20533 -449
22441 28460 -171
8793 22441 -501
12463 8793 -976
4384 12463 -466
15044 4384 -465
16666 15044 -102
22981 16666 -108
8549 22981 -865
18807 8549 -998
14495 18807 -765
18305 14495 -453
7854 18305 -876
19142 7854 -469
9268 19142 -151
10929 9268 -43
13081 10929 -417
12744 13081 -156
10818 12744 -632
2566 10818 -462
18557 2566 -571
29281 18557 -322
2853 29281 -43
9482 2853 -96
26732 9482 -341
22625 26732 -387
28619 22625 -923
8566 28619 -249
19318 8566 -147
5970 19318 -28
28927 5970 -269
16130 28927 -77
5896 16130 -604
10509 5896 -837
15802 10509 -538
15220 15802 -342
12521 15220 -560
649 12521 -634
6216 649 -390
9092 6216 -17
24165 9092 -873
3501 24165 -600
3268 3501 -963
18500 3268 -194
27200 18500 -819
13596 27200 -776
17913 13596 -579
16947 17913 -32
26813 16947 -852
4619 26813 -29
11768 4619 -671
2661 11768 -879
6680 2661 -203
28924 6680 -886
741 28924 -123
7011 741 -7
14258 7011 -448
29783 14258 -699
21465 29783 -286
18092 21465 -928
11745 18092 -983
11455 11745 -473
1564 11455 -315
20321 1564 -506
5683 20321 -524
1191 5683 -60
23780 1191 -873
2321 23780 -606
17982 2321 -599
26796 17982 -975
26769 26796 -763
22303 26769 -800
27912 22303 -109
23966 27912 -133
872 23966 -984
26221 872 -936
21898 26221 -506
24179 21898 -853
2847 24179 -553
22223 2847 -115
11642 22223 -721
1394 11642 -744
14132 1394 -60
19560 14132 -397
9245 19560 -535
16922 9245 -874
24590 16922 -667
20626 24590 -939
18790 20626 -851
15379 18790 -98
18995 15379 -748
27406 18995 -834
16881 27406 -15
13400 16881 -995
27728 13400 -191
25914 27728 -770
6530 25914 -100
19591 6530 -751
18447 19591 -346
22089 18447 -433
18464 22089 -935
16018 18464 -7
25733 16018 -773
16383 25733 -839
27867 16383 -302
7461 27867 -756
4274 7461 -461
17939 4274 -430
10803 17939 -953
23311 10803 -299
24916 23311 -242
2036 24916 -206
12155 2036 -632
25702 12155 -514
5352 25702 -495
27145 5352 -505
28664 27145 -985
14002 28664 -917
10458 14002 -197
19810 10458 -604
16355 19810 -847
26913 16355 -128
8962 26913 -182
7859 8962 -697
26076 7859 -634
24256 26076 -155
8094 24256 -347
27019 8094 -493
2288 27019 -658
28944 2288 -896
8290 28944 -277
1362 8290 -829
21804 1362 -49
20562 21804 -404
14992 20562 -676
20275 14992 -248
