15000 120000
3442 2083 815
7821 7174 318
1930 13017 714
7570 7055 890
10113 9157 966
5245 5616 407
14568 8216 16
459 8957 127
5768 9816 971
5031 11925 497
10440 10436 559
8274 1254 713
9585 11144 406
11995 10223 197
5214 5146 367
6704 11949 966
3723 11115 390
13553 7390 913
3021 6307 373
4055 9130 857
332 10104 471
14358 4990 697
12682 6800 524
14487 11207 967
12139 2265 91
10551 4302 46
5969 599 81
6361 691 696
5101 14338 545
1702 718 613
14761 6380 769
12099 5650 588
6747 11267 162
12425 1697 119
14833 3382 158
8363 2811 266
10394 9528 673
10723 4183 984
2938 12567 111
14484 14495 938
4679 3452 445
143 10226 228
6230 10963 644
7540 924 133
9924 3648 235
670 12309 275
13995 5439 859
12167 13436 -8
9309 13743 222
13252 12492 25
7165 3357 405
3547 2932 645
10304 8927 594
13263 13846 43
5177 10394 -6
4500 7987 25
14007 9121 714
1861 113 113
10285 13583 213
4537 6477 57
10944 11185 969
9089 8311 780
10173 14988 88
14969 14596 961
12446 7034 393
9258 9521 798
10374 5977 845
3287 4860 639
12961 12865 189
6388 13021 840
3811 8873 175
1236 12006 653
243 10954 943
12862 12881 183
3709 3774 904
4389 13803 386
425 10662 878
11886 8776 645
2340 1853 136
2202 14113 930
124 550 213
4512 9291 373
3455 14340 277
10286 14019 378
5041 13135 512
7824 14959 682
12349 8062 544
3340 3081 330
7145 2947 395
2988 8333 345
6192 6779 484
5363 11211 512
6092 11281 2
14910 8759 18
14512 9425 594
2386 12143 973
13299 9539 473
1745 9717 421
5490 4442 117
13927 4653 534
1977 2442 631
10989 11612 290
2313 4565 833
6155 621 917
6683 1082 698
14713 6595 806
12239 10542 866
2297 55 934
4413 12382 62
13382 713 392
2682 9602 190
12453 7850 822
12181 757 153
11215 13549 822
6777 3953 397
2196 1806 932
1689 7820 634
13628 2237 289
2085 633 793
9527 983 795
3821 3848 410
7968 9257 767
3749 10618 535
14846 4732 115
5575 4681 782
9645 5487 859
13397 5613 -7
1038 14682 187
11245 5040 646
260 3149 238
3498 9503 757
11715 6919 101
2648 4205 267
6170 7670 875
1565 7995 348
4105 7378 209
4440 8501 878
4256 11346 249
9473 8297 543
7986 5451 194
14987 8335 413
3844 12981 106
2141 9746 575
1340 9395 420
2028 2167 514
768 400 761
9540 6232 702
3444 1817 186
8374 12689 382
7898 4814 411
12111 2127 867
14828 5847 70
8157 9400 503
13176 4489 783
12907 1880 883
14438 12301 913
5971 6703 552
1957 2244 946
3579 9166 96
6057 12483 398
8010 5872 223
9057 3013 853
11202 1417 243
3043 11660 612
6283 12133 617
8010 7588 852
7672 4682 529
14937 9801 934
10334 10998 383
10667 225 28
10595 7966 586
2055 1699 231
6801 8084 480
285 364 768
2223 4274 405
10612 14345 631
1013 13098 698
1476 14776 88
14942 14951 431
13421 5504 727
3166 10954 110
10775 2448 879
5152 12062 7
5926 11914 344
13633 7997 332
14140 10560 202
5579 8649 269
6203 12962 476
4878 9187 293
8244 3351 720
8448 13096 600
7835 5530 553
883 7984 158
3251 1936 957
4964 13481 243
14584 13309 639
11265 10884 664
2986 12578 844
2782 6708 713
1740 8356 516
8787 11764 338
8955 2487 605
1195 3279 16
13893 457 715
12059 3067 784
14705 11067 735
7087 9882 930
6946 8784 76
6814 7295 231
11244 13547 182
6288 14519 678
848 13870 535
7104 2208 470
1326 13304 93
7019 12371 912
13220 9764 776
11490 543 819
2193 13819 546
2656 12001 207
13383 611 108
8090 12634 99
2416 10487 588
3518 13781 488
11943 1179 921
4660 14117 489
10596 898 805
9895 2904 38
12995 709 254
4524 12289 58
816 1418 349
11512 453 703
12663 10444 740
6516 14287 601
10063 7890 173
7572 3730 610
4192 6775 906
482 13151 289
9172 6963 223
14706 3292 595
12678 5567 465
2873 3236 333
2363 11180 918
13270 2013 303
4305 5524 424
9817 13816 186
4496 4568 381
4249 6415 131
10490 7346 876
13847 9437 463
3118 9267 193
14334 7254 974
8916 1502 39
979 3218 233
1218 14926 579
4678 10036 436
9543 1018 418
10423 2829 441
14532 9040 727
11441 4714 171
12041 12752 365
8890 5213 462
2915 14979 77
12175 10004 264
1878 4720 148
8630 1052 610
10693 9690 398
14248 13869 395
11999 2567 237
4376 13067 751
14018 12959 821
3025 2409 611
11913 14 691
4057 8989 799
2934 14338 633
3217 5868 112
11048 6654 851
14668 7070 677
10758 7159 662
11169 10740 -1
5889 4369 897
12766 8137 960
149 6041 589
3927 3172 510
13177 14759 647
3618 1931 755
7155 9392 264
9951 5687 593
13292 10068 26
11624 8014 438
7802 3762 27
14510 437 629
6781 12360 554
3436 5877 864
14009 4141 624
7941 8159 20
7831 2224 -10
2198 11936 108
152 335 574
10073 765 247
12664 9352 317
3794 7913 560
10470 12586 177
14052 10848 721
12809 5395 578
5712 7910 984
9187 3558 9
8032 14781 218
3399 11208 45
6131 14742 427
575 10375 58
12623 13452 439
12827 2558 617
8061 10044 657
8946 9350 428
612 4020 542
3723 3639 86
9124 11084 919
5991 12405 138
13090 2659 662
7309 5255 903
5183 8720 448
12613 2988 529
3111 13957 497
5907 1265 577
3354 13855 847
10923 7035 749
13047 3488 737
10344 7159 857
4124 6659 328
12618 3278 721
1401 8321 157
12249 12139 784
6257 6990 193
13795 4884 241
5504 2931 627
3757 11768 246
5234 4135 288
515 8436 206
2025 2450 122
5228 12325 121
13336 14467 442
8977 4938 563
6951 4467 390
5729 10267 753
13802 3614 591
12155 7933 395
1318 2786 680
3275 13170 710
13792 14886 532
13215 4149 918
12802 10728 796
3096 5614 519
12256 3465 944
4989 9073 333
8944 6565 482
11866 5306 96
1356 3033 432
8551 952 202
2792 13508 689
5263 11580 837
3516 7699 981
14651 14402 981
2418 11038 49
5323 8534 260
10180 10422 7
7096 14373 650
675 7517 889
6331 11096 449
6216 232 96
7914 14460 772
749 6236 869
4516 14232 650
4874 10918 326
3058 590 939
6060 2035 609
14507 12428 416
12462 4500 292
11232 4862 820
7226 6680 897
12164 8353 563
7393 8027 293
2113 11795 921
14731 8252 147
7956 14160 305
13304 14869 319
5876 4445 281
4843 1519 719
14261 3661 692
8442 2174 625
1592 2345 328
5609 5691 90
5093 10873 160
2780 2390 39
12168 8197 -7
14640 6870 -3
1863 6709 550
26 5041 473
3103 7969 979
11763 12768 885
13012 4743 735
10295 7988 552
14377 6488 573
9663 13157 609
12562 4067 288
1364 8282 852
2046 6258 72
14444 5984 780
7859 9783 218
1117 2543 294
14368 12106 995
13480 4345 240
7179 11433 313
2613 6324 560
12860 10083 163
9141 10673 86
3092 6746 420
14296 6291 777
10402 4166 105
12161 1086 1
5664 1679 282
11480 5842 756
4906 7860 688
8376 5304 250
13245 5936 294
14364 5360 10
1148 9481 907
5933 11092 217
1917 8449 529
6349 898 412
11557 3536 902
4370 7398 573
13143 8339 404
14772 11537 54
2779 4290 259
6841 6462 305
13991 1697 700
3446 7341 943
6749 2467 951
14546 7254 403
3593 9742 466
841 9158 660
10051 9055 428
2672 2990 845
8929 10804 44
5258 5978 925
3311 13899 18
1957 554 938
14421 12033 687
14254 7847 672
3416 1804 532
13260 5097 541
3856 10136 846
5393 2606 13
4745 3481 556
8625 14024 878
6673 3332 975
2043 3450 862
6976 14898 95
7489 14587 512
6182 11357 837
8217 6408 911
11858 5517 925
3611 10939 591
7507 12738 669
5132 14044 366
3910 10664 108
8102 5190 321
3166 14721 415
8447 8834 988
14536 4644 331
3518 8103 999
9064 5547 654
4504 9725 29
6382 6385 135
7540 3507 605
3306 5954 740
749 2905 313
14956 9055 874
175 3981 150
1565 13045 799
2604 13061 782
5511 9752 822
10509 7159 655
6262 5589 76
9954 252 541
7334 7140 875
13578 11167 931
9800 13916 519
9377 13175 68
6579 10099 526
10862 1461 717
11017 7774 373
6945 13494 359
13703 13364 282
3060 6246 934
5236 1220 623
8000 9823 902
6814 11474 136
6121 5126 965
13762 3658 816
4717 13103 748
4500 9550 204
6948 9029 31
4157 1034 35
8432 14073 533
5991 7348 436
13148 8932 964
7750 5867 785
5208 3503 37
11924 9858 942
9411 1701 100
7794 1469 590
7255 10516 766
2959 11121 461
2924 6595 572
11564 1024 122
8204 9936 535
5884 2379 551
11594 510 923
13974 3668 781
5164 11900 612
9039 7722 449
13552 2045 593
9180 9145 586
9004 14532 458
4368 2859 259
10979 10627 245
14680 6172 917
7444 1948 192
9272 12229 866
5979 12120 262
6153 14384 427
1023 14621 84
11399 11815 502
1168 6792 3
2320 8586 557
13132 4179 862
7799 14499 867
761 9644 322
14353 13648 331
14143 11362 370
9963 2436 433
55 14396 566
13678 13059 523
12044 9184 559
2779 975 319
9945 11532 868
1099 13646 112
9897 11037 582
5860 6644 400
1702 14686 76
13345 14991 431
416 5859 434
3895 7164 516
4567 12605 523
6648 8315 816
4475 12428 357
13337 6124 127
13793 14410 596
8735 12689 345
13971 2072 227
5426 3070 225
14529 14503 678
4037 13415 185
466 5506 852
9411 7565 826
7083 12165 731
2386 3613 656
12483 5154 260
12533 6864 982
9371 4464 333
14237 4500 852
12968 14052 471
551 9940 70
603 7886 226
14375 11684 815
1629 13866 413
4738 6270 601
14413 5029 11
7787 4157 44
3487 12905 988
9957 13549 811
3377 13305 708
14583 988 814
5638 2413 663
11199 3767 404
629 5180 904
12617 4855 145
7434 11517 429
8393 4928 220
4601 8723 105
2110 10461 170
5035 4116 82
7601 11394 962
7946 6721 712
11574 913 254
2861 7427 552
13414 3687 297
14875 1535 303
205 5844 794
6024 9695 -10
4638 11421 704
7686 5761 91
1557 10288 369
6663 9563 775
5259 2783 44
8981 8758 618
3597 5976 660
6938 2376 455
3395 7937 874
11561 12412 695
4916 9154 538
1331 10386 453
3258 6809 627
10963 9413 881
14163 14172 228
10440 11709 321
3281 8623 469
12889 9630 25
10445 2849 475
2648 14714 785
9382 12230 385
10299 6485 894
12351 8056 763
9365 2516 786
5717 235 790
892 1046 965
1103 10221 818
10589 4107 615
7268 12962 616
9309 13068 359
10201 2778 496
11006 14133 944
13930 14264 825
1733 12122 948
3438 5278 942
1273 13694 254
10013 3554 230
1252 1023 307
11822 13080 972
9054 2397 855
3278 3087 171
6404 13345 388
9581 9123 802
9363 1753 44
4358 2076 523
9854 13482 497
3747 2448 628
3350 1946 744
3732 9301 854
14686 12251 719
12301 6356 858
225 6234 168
12969 1737 555
10518 1026 267
11230 2115 707
9639 13882 147
1889 3220 806
6107 8357 706
1042 6586 781
5574 3548 26
9667 12025 186
12296 12982 163
11490 2502 488
3481 7058 223
14513 6268 541
6612 13461 390
630 445 464
2653 8014 983
10060 12400 516
11989 6917 276
3683 8835 251
11245 4779 907
9635 5743 368
2305 11344 27
6243 4985 981
11498 12388 309
1341 5166 420
9372 1461 74
2446 3541 20
13782 1923 173
7210 120 837
6042 8763 220
5742 11778 728
4167 13160 679
14825 13308 952
5521 1089 818
1493 5487 239
14265 118 338
2811 7756 257
12136 13967 31
3939 11608 839
12826 5735 321
9217 11472 695
3538 8978 777
9199 4462 497
13594 3341 830
8607 6317 99
3395 4877 219
952 12395 985
1488 13251 20
13254 10875 779
10423 2965 278
4497 10924 943
9853 1822 128
7942 11788 403
9403 767 355
5441 4969 262
10914 3260 549
11090 8509 30
994 2077 856
1458 7789 357
472 11909 497
11994 11568 126
6165 12163 414
9598 6308 389
697 6768 382
14379 99 751
6099 14161 906
11718 4131 958
7548 4758 969
7018 7585 272
1815 14473 879
56 2677 972
12504 13891 120
13886 7897 738
10069 12886 964
7175 11348 396
6729 12133 132
656 14677 145
3528 1277 544
13047 1439 861
13190 9215 14
12744 8893 542
1158 1592 801
10132 12901 986
2897 1291 849
1290 11617 694
2747 8328 443
14969 14653 412
14776 5489 708
6241 607 679
14929 5666 444
5238 7472 620
10302 1653 988
11179 1144 633
6855 7025 528
8815 3420 639
11809 10952 974
4613 13702 749
6032 7505 484
407 10918 11
13300 9512 311
5854 5600 828
4691 2380 160
5503 6494 499
12913 14274 665
8611 8418 815
9918 4568 334
13948 8545 200
7297 6922 550
1469 11623 661
11240 12293 985
11571 3740 325
1753 12168 892
5273 3191 872
2021 9131 141
12485 5043 263
3891 10496 305
5783 13170 549
14562 2601 886
3118 11213 18
8456 13081 866
1082 7422 482
1543 1670 346
1592 672 62
5969 8852 236
6401 5502 244
12289 1448 639
1287 8832 961
6242 560 17
11234 13508 751
5146 1386 620
13266 5996 217
5646 11780 82
10485 12806 26
8384 6346 967
11637 6467 930
385 3283 256
9959 13895 854
5463 9032 566
11021 9313 701
1351 9889 992
14025 5226 77
5495 14454 712
3335 13598 479
12823 12004 943
10047 1371 293
1008 8160 972
13511 2840 551
10459 10645 727
6781 8557 213
7967 2157 207
11646 5756 133
5955 13479 926
1780 1358 102
4864 207 925
3365 9500 828
13210 875 349
7353 4886 314
14889 9531 761
8320 1189 754
5521 13076 39
2339 7150 978
4797 6750 658
4321 8132 97
7059 1193 273
6102 2130 380
13250 10877 454
13669 1499 112
10480 6724 317
5425 13098 451
2758 14146 44
7324 10718 989
9511 14303 276
1415 11502 658
6390 12571 332
13356 10768 242
10278 11616 783
6024 5551 -9
14613 8177 391
4725 11474 775
1593 2887 149
1759 1681 967
12182 6275 386
12577 10619 156
1214 14979 678
14538 3093 718
8080 2964 953
3632 6750 937
5317 7233 874
4210 838 764
4580 4462 463
12360 3420 295
920 3596 472
5557 9820 743
14119 5363 760
1167 12226 351
2356 143 160
14671 6693 79
1717 10622 104
13124 3601 43
14180 9936 76
8130 4241 388
2617 354 -4
3974 2432 829
12302 9845 54
14288 1205 577
1399 5801 123
806 8673 640
7856 3475 840
13540 8136 763
4150 1348 542
3438 13725 23
11427 4240 181
4113 9245 494
14428 5471 585
921 2974 284
7499 4472 138
12002 9539 703
2496 13392 427
9453 8825 264
1018 1867 897
14124 14722 41
14407 8963 480
13445 5205 967
5844 2041 30
8458 8971 488
12582 4607 979
4576 12308 35
6959 14501 451
12612 4091 911
6180 10716 65
12453 6899 43
14630 11131 984
2216 2404 774
12709 9649 928
11161 6255 676
6220 9697 193
11814 9692 887
2933 3912 875
14825 596 766
4891 2021 780
6920 6852 143
7375 12324 186
10848 3948 708
12344 8905 336
9325 10723 359
7162 10424 500
11005 11130 383
7907 11362 311
13653 9936 257
9909 10799 246
13736 8802 649
8449 8426 951
8536 1714 612
14119 9518 616
8501 12505 948
4457 14650 163
7775 13251 521
7965 10647 251
5656 10584 584
1407 9565 854
5430 4230 145
12506 12827 82
13864 14634 129
4570 5058 353
11688 6810 959
10862 13894 24
14876 14585 486
11102 4867 738
11996 1328 551
863 823 378
6445 2421 384
3526 8161 819
8994 10167 357
8336 13565 702
5789 11922 998
6952 6318 263
10040 11742 483
1885 14338 808
2943 6472 750
3027 11764 763
8163 11572 942
11120 14044 333
11964 3497 930
259 12485 549
7059 10242 96
4508 10549 301
12404 12997 787
14301 1756 133
11226 8577 547
14062 9245 979
1178 10983 315
7564 13183 984
7139 7828 123
8203 9842 977
1473 8135 317
544 72 833
5496 6791 76
5022 8942 576
10444 14810 915
14123 8070 384
11673 6098 286
14076 10974 765
412 2370 774
8274 6939 444
9362 11812 814
14506 4366 994
7960 11741 176
13938 13239 404
10004 11288 944
6575 10854 223
6006 2500 315
14971 5598 342
11135 153 454
1105 926 99
1577 13968 819
13333 14581 61
12075 6981 383
5247 10640 257
8064 13657 909
8525 12130 529
13075 10955 642
10272 8118 410
1225 11406 809
1343 6769 892
4432 8848 174
7954 7914 366
9648 4849 -2
6222 12944 307
2732 555 4
13123 2464 95
6385 9853 651
2684 4545 648
4800 9665 362
5610 13828 115
688 4562 918
10455 1689 600
11340 5972 432
10996 13462 913
12363 3899 811
9265 11145 55
3446 14777 742
2681 1748 433
13244 2198 981
2505 3119 623
5297 5395 570
2724 3607 905
7832 5234 475
11731 14788 838
520 5449 372
10678 8631 156
5477 4467 45
2109 2254 619
12562 2087 925
11375 11951 873
3027 6402 997
10206 13633 -7
11240 14540 980
6884 5774 162
11295 173 616
12631 13802 963
2289 1223 44
4389 13147 108
10519 10048 439
2298 12581 762
5160 12724 374
14377 9155 30
13516 12544 232
12613 14371 101
12828 805 523
11845 5781 954
1288 3256 650
11138 2354 990
