50000 200000
43685 48010 460
43901 14115 646
4209 35108 471
35493 24873 578
2540 17333 791
18235 18651 251
47563 27991 340
37069 48248 698
49652 49375 94
41797 16225 730
23063 32482 511
2660 48345 815
41954 12698 805
47826 43603 0
32443 14787 941
44076 41177 6
23968 48558 163
31108 1758 495
18247 3894 112
26666 45358 458
22925 6077 524
49363 21185 728
18464 44761 755
11091 3126 62
19745 32260 731
26441 28145 602
22041 8195 125
5779 37520 362
38283 27358 258
10224 19507 689
13613 9817 142
47392 49626 391
46299 35833 66
43619 24067 976
15947 41999 39
20240 26059 122
18905 28535 866
13890 38888 638
45537 9864 300
1363 15947 366
48453 44897 69
4026 36956 799
26298 26262 298
23885 4523 345
7948 21088 489
43875 31786 705
33173 20833 384
16921 40404 591
36683 8906 161
12272 18206 228
6286 15257 369
31728 22673 950
46701 6016 511
38200 26980 460
18555 9990 201
20960 20271 443
6122 42281 159
29481 46804 640
21710 25624 511
47844 15413 696
13401 16192 959
7323 40499 350
42427 45086 292
46912 27777 821
14544 705 35
41472 35079 571
37813 26674 891
14154 24913 257
39012 28279 948
38833 46018 531
39622 26190 712
32475 4066 298
8064 3048 278
5723 23465 65
25506 13017 261
49147 22396 434
8124 35110 152
31089 27906 834
41124 19432 129
21656 27112 789
13894 26710 789
177 42256 538
3961 25651 925
7643 37345 138
2756 42233 128
931 25214 998
35061 37073 397
42475 18240 968
49686 4154 116
40945 1777 761
47047 40091 854
37110 43974 427
29112 21593 173
43257 38689 651
47111 24128 120
33833 47193 339
26962 33206 993
10019 7116 -10
34544 20525 257
12227 49136 102
45118 47399 561
2558 20765 481
44647 13960 65
48874 8884 943
36467 39704 872
23535 12430 495
11868 6950 458
25637 11676 999
48498 21937 540
46756 25666 354
47193 24913 213
14975 33376 818
37822 34466 48
5952 10126 275
45460 47124 135
4729 23814 703
48321 30634 242
3137 1378 539
26378 35620 742
49725 11754 306
5631 46827 881
31376 43685 514
37725 14484 171
40157 20074 654
49957 11046 726
4138 30393 128
49603 12769 899
1162 5077 316
46813 44511 336
49754 16912 460
17598 30962 87
17155 46904 107
2666 46198 669
7467 11542 12
40260 14839 71
40293 48173 623
6800 40429 898
5037 49144 324
19860 27640 123
20508 11630 500
6384 29226 334
42807 4459 635
29989 49838 189
