500 1000
159 155 365
458 41 420
102 256 473
357 125 240
471 352 18
451 168 444
81 178 303
176 129 142
475 145 413
464 208 20
372 66 302
10 486 210
415 12 72
100 338 98
436 181 169
324 285 282
189 378 174
405 378 307
214 487 453
219 366 179
108 35 471
243 206 302
302 167 418
375 488 64
36 437 385
130 284 8
327 233 112
391 381 280
416 248 355
350 120 67
290 491 351
214 87 13
446 389 245
73 170 136
216 364 430
169 115 167
98 139 474
450 136 453
116 424 459
463 419 198
268 93 263
195 98 351
76 316 39
238 36 327
30 75 402
359 17 311
226 249 131
128 24 411
130 332 152
247 230 438
306 460 286
463 19 499
221 235 262
359 213 152
305 168 30
275 381 131
251 313 374
73 465 229
196 238 313
355 480 107
225 458 342
32 361 110
43 298 132
324 343 48
321 157 77
76 160 260
149 179 333
193 330 111
121 74 242
493 35 467
220 342 462
239 0 296
212 144 214
412 244 18
159 71 28
212 476 224
31 106 333
16 413 425
291 158 309
297 427 193
430 230 315
322 67 85
428 494 35
254 253 261
304 291 221
315 380 250
225 166 133
406 434 181
324 241 244
275 328 443
248 339 63
300 451 210
467 331 158
408 195 258
482 472 420
34 421 76
140 42 328
457 412 87
22 141 401
250 133 105
456 15 442
61 328 78
99 363 476
75 459 326
142 308 220
76 286 377
116 471 365
63 111 182
255 164 440
434 319 282
411 343 351
127 59 403
127 110 120
430 325 251
1 212 119
69 478 47
4 238 397
154 496 445
271 161 385
481 452 433
463 481 247
268 306 326
279 498 261
215 372 93
334 454 172
70 8 156
158 160 275
114 446 482
15 205 459
144 291 30
368 7 150
304 493 351
209 174 474
386 342 141
432 71 236
16 152 254
331 359 290
185 150 -2
493 192 128
21 183 271
248 444 338
4 354 335
219 72 437
282 408 296
381 50 252
196 263 433
93 238 37
169 16 -3
55 185 336
164 483 281
375 187 260
359 254 163
126 145 361
37 304 174
40 441 382
470 64 464
75 316 493
374 290 292
366 138 445
404 30 237
152 486 223
257 204 88
461 354 497
29 131 15
313 165 -2
155 64 497
177 76 280
225 155 288
55 389 334
18 193 411
310 433 415
268 214 49
455 97 159
152 11 452
13 317 127
91 133 436
324 185 171
376 395 232
137 18 231
19 96 461
168 35 270
23 65 49
132 280 167
24 190 -3
409 143 362
30 459 222
118 191 80
61 429 341
489 23 87
477 223 160
385 332 229
55 240 59
461 453 197
84 426 397
405 211 340
296 3 498
31 4 322
386 182 121
65 308 366
251 262 122
115 414 280
104 499 316
446 204 52
206 326 235
404 159 10
128 379 54
447 485 438
297 105 220
100 316 123
329 299 70
492 286 349
253 46 129
43 231 64
6 349 235
337 351 191
131 345 473
270 153 -3
487 358 60
75 360 104
297 75 468
15 318 479
233 396 317
447 154 158
114 54 188
104 489 97
382 127 260
97 280 349
125 247 321
246 244 122
351 413 332
100 209 61
331 49 337
341 114 -3
45 482 50
332 431 144
1 4 92
350 215 262
326 189 127
382 121 308
69 287 491
366 258 365
290 30 36
81 89 121
404 365 70
30 248 450
13 45 281
4 224 276
85 221 302
