25000 200000
17019 12717 399
4385 19810 143
16899 3210 159
166 8159 996
23063 24972 62
20803 10419 774
13012 20989 163
5132 6205 872
5300 23224 665
9506 21722 882
24241 331 812
13181 15333 38
24692 11946 659
15059 20368 387
20419 24121 194
16921 24955 420
15099 8063 11
22479 2417 834
6015 11388 728
2205 4995 25
18696 15987 581
22296 3406 729
23113 20276 672
18089 21849 124
15466 4209 30
24520 5828 918
11137 5901 562
8158 6524 525
15459 14085 223
9568 2674 404
4588 12277 570
18978 22950 548
12922 15315 241
23620 13652 232
21692 14910 596
16238 18862 156
20429 16176 735
10426 16400 575
22979 11493 533
24935 7477 583
22173 11506 564
15994 3939 108
5197 16398 229
6413 17968 783
6204 700 245
17376 17302 687
2961 670 155
19023 9314 790
21949 21159 883
3469 8375 837
19188 2441 506
20341 18992 860
9270 12378 -8
12827 3426 247
4522 1489 898
24750 16502 443
18350 513 420
2898 2313 136
19318 4748 69
13508 21160 598
128 20520 445
16974 2344 530
22373 5610 327
8338 21962 659
10448 22134 182
9038 6764 471
17426 6240 436
12942 8202 14
91 24686 645
7970 19286 82
3853 6137 441
20970 23603 503
193 21472 564
4378 6756 345
11007 18957 258
15686 21916 307
623 18015 228
17328 4501 742
7302 17247 854
22397 4028 721
16084 20616 865
15358 22466 194
19870 8031 889
16749 17415 -3
20138 13889 456
18643 24854 238
15462 19430 915
14492 24524 683
6231 4572 740
19457 5163 663
21827 8854 157
24607 10331 424
8155 18833 236
6079 12920 105
5622 6399 208
21226 10590 478
15767 8886 717
18028 21350 166
19917 3369 707
11023 10871 476
24827 16164 608
11035 13627 744
20642 5507 85
9655 12366 99
23648 8303 656
14107 21870 604
20282 9875 902
24632 919 735
4970 7022 2
16158 14811 504
12415 13307 42
19418 3061 895
24974 23975 580
559 7495 833
12577 11958 3
7225 2860 495
12061 5266 206
24933 11703 974
10566 2526 191
10708 13081 102
19110 23656 518
3141 6733 445
15560 3961 162
16058 4201 597
22263 12770 972
16422 9493 574
2561 16910 397
21528 14533 93
4879 14506 866
10766 8447 933
16746 19117 121
16171 7009 987
15160 10247 965
23640 10389 142
11640 24564 731
15878 14081 704
22563 12705 413
18562 11643 559
21349 3037 317
595 10574 0
21499 23905 492
12903 11818 902
4660 21843 657
5938 14785 519
21010 12427 477
18643 10917 396
21841 14227 797
16313 7384 460
18567 16549 452
10906 20264 699
12905 1498 426
19592 21162 988
8647 6689 233
18599 14182 105
10445 7908 403
17065 4269 616
11484 21639 715
8085 9342 779
22439 15164 904
9051 1468 442
3096 5151 530
15240 8700 727
21796 24234 860
2388 18010 72
11522 10419 503
18930 24716 866
10710 22648 825
15981 15382 798
8820 16465 560
6233 10058 325
18513 9232 252
15810 16305 192
7622 14334 506
5515 18961 10
1592 22389 11
818 24132 633
260 24359 389
18747 16471 11
18285 22643 300
11915 4039 804
21843 18583 361
20899 5212 -4
8355 23810 940
24302 16004 762
12756 17923 302
5246 8987 372
11364 6169 961
13549 8715 181
11166 17323 804
3929 19759 210
18690 3192 588
10257 18538 942
23202 7258 388
8327 8370 881
16684 18218 497
5300 2163 521
24832 8810 107
9375 4319 -6
2691 5392 587
23116 3254 701
19871 10486 986
15482 13111 290
20066 10152 387
23309 8991 991
1533 16413 112
9506 24368 384
5404 10541 413
15973 4066 57
5665 13160 587
13402 69 347
11384 24295 240
15480 18802 275
10012 4379 120
20629 21093 413
22246 20893 504
5607 15297 442
14833 16213 933
20094 13168 14
21114 22395 21
4104 15682 464
20115 24361 410
18089 7704 641
12765 15982 558
9173 3039 237
5401 16682 16
24699 12618 612
22706 6086 731
3897 2005 137
22742 10883 567
9321 3346 762
23949 15341 975
7780 13008 499
10467 3065 156
22396 20302 128
24245 18259 478
14602 20212 805
19245 12259 835
11533 11404 486
2138 23152 414
1439 9711 928
6307 13956 261
19415 14848 246
4811 12504 227
10243 20967 731
10212 7178 406
18237 6248 276
15741 24955 506
21723 3323 379
20379 13124 189
10665 6950 610
15213 2733 181
3928 8310 934
20971 12452 238
18938 23465 865
11405 22263 880
8139 20045 413
21302 20381 547
18264 11022 549
14254 2689 301
7303 2467 430
24841 217 292
20063 613 338
18562 23919 31
24680 4077 800
20271 22708 41
15248 24340 316
6487 22597 289
3722 5079 965
5528 21919 720
5711 16163 494
7469 8864 48
23571 23959 352
11504 20767 884
19287 13399 634
14781 23128 678
13367 12702 283
9877 20391 311
20787 10636 76
7862 2811 100
20471 17604 732
23618 19838 666
8354 4105 294
1804 14073 412
11739 8751 24
3124 9905 333
4221 24225 505
16622 13852 158
16424 19702 881
24578 21178 287
10684 23460 173
6517 272 583
19963 7491 887
21449 18233 655
20842 2154 824
22642 19142 527
7330 23475 20
20866 24039 428
10460 11137 691
4203 834 438
7918 14804 505
16494 5238 860
12666 5848 570
2905 11743 51
12630 11359 673
22164 3755 403
10249 2035 821
15746 12661 290
21004 2826 441
16321 9252 603
19296 2006 476
4392 22673 145
24422 3280 247
24288 17797 792
14418 5198 773
23097 17576 449
21380 13057 219
8215 23852 133
895 13521 697
5084 1582 398
18868 21451 699
22610 6607 932
16705 11753 830
2739 4047 476
8288 18323 604
17977 2093 564
5393 14951 213
12145 2148 -8
17340 3686 401
7736 7865 160
7972 9372 203
5492 7044 847
13424 3202 403
1838 1309 311
21302 342 -9
23438 20335 502
1988 23653 717
20469 18736 674
21953 8389 141
1983 23029 132
21249 24919 861
10234 242 368
21298 22119 351
14276 7241 966
14834 7634 647
14519 19126 706
19272 4562 32
3253 22149 507
14201 4626 408
13734 20326 489
10327 15744 106
13865 16837 489
7755 3110 464
5613 21170 594
24439 430 342
21249 6268 55
9548 11140 564
2030 22114 369
16829 20302 633
24320 6279 421
24365 24041 728
