17000 17015
14657 11388 -9
13592 14657 -273
6668 13592 -20
10420 6668 -374
871 10420 -675
3310 871 -591
7475 3310 -340
8020 7475 -755
3168 8020 -770
6947 3168 -421
5440 6947 -633
10261 5440 -231
7558 10261 -161
15682 7558 -882
16061 15682 -746
7303 16061 -936
8845 7303 -436
243 8845 -867
3280 243 -828
15606 3280 -509
6988 15606 -796
15684 6988 -633
2280 15684 -808
7143 2280 -187
4502 7143 -847
16467 4502 -586
15666 16467 -368
7855 15666 -942
2629 7855 -75
10169 2629 -186
15819 10169 -175
10462 15819 -920
5269 10462 -454
12510 5269 -606
3756 12510 -755
9011 3756 -643
2920 9011 -800
7607 2920 -860
5315 7607 -539
15611 5315 -623
4665 15611 -540
11103 4665 -85
13514 11103 -777
13483 13514 -459
5462 13483 -242
4207 5462 -174
4172 4207 -63
9158 4172 -444
6578 9158 -388
1420 6578 -593
8850 1420 -577
5848 8850 -159
1287 5848 -506
2731 1287 -271
6698 2731 -775
10936 6698 -671
4995 10936 -78
2288 4995 -538
8934 2288 -8
12928 8934 -598
480 12928 -575
8038 480 -949
2308 8038 -502
11764 2308 -731
3249 11764 -631
13185 3249 -483
7531 13185 -580
2889 7531 -320
6536 2889 -876
7719 6536 -200
5960 7719 -608
1284 5960 -946
12224 1284 -983
14599 12224 -378
11879 14599 -320
16569 11879 -693
3445 16569 -430
7784 3445 -206
13246 7784 -575
10918 13246 -493
14145 10918 -402
15509 14145 -690
16761 15509 -69
13363 16761 -318
13072 13363 -1
2794 13072 -758
9129 2794 -872
10296 9129 -582
14569 10296 -202
11656 14569 -211
2964 11656 -141
3376 2964 -504
2519 3376 -51
6556 2519 -600
6710 6556 -717
9631 6710 -689
13738 9631 -34
13940 13738 -759
3948 13940 -432
7081 3948 -566
6968 7081 -693
6614 6968 -274
2064 6614 -58
6884 2064 -532
12750 6884 -482
10244 12750 -260
3133 10244 -657
7496 3133 -190
14304 7496 -927
13258 14304 -418
15393 13258 -234
415 15393 -965
5571 415 -24
511 5571 -31
5377 511 -959
13299 5377 -681
15849 13299 -698
6776 15849 -120
15709 6776 -674
1718 15709 -842
7540 1718 -35
6775 7540 -733
3189 6775 -30
380 3189 -374
8663 380 -478
7431 8663 -251
9393 7431 -523
9880 9393 -328
1415 9880 -560
15567 1415 -322
14563 15567 -526
7816 14563 -845
5841 7816 -828
973 5841 -930
1861 973 -226
11159 1861 -414
13031 11159 -287
361 13031 -724
15147 361 -457
5913 15147 -582
3617 5913 -715
6150 3617 -130
9323 6150 -425
12438 9323 -586
174 12438 -501
88 174 -518
14085 88 -952
7443 14085 -17
13616 7443 -101
11689 13616 -724
14218 11689 -45
